fecha,aero,v1,v2,vb1,vb2,w1,w2,n1,n2,n3,t1,td,qnh,closed,Metar
Nov2003-040100Z,SPZO,10005KT,070V170,9999,,,,BKN040,,,11,4,1029,0,"('SPZO', 'Nov2003-040100Z', '10005KT', '070V170', '9999', 'BKN040', '11/04', 'Q1029')"
Nov2003-040200Z,SPZO,10011KT,,9999,,,,BKN040,,,11,4,1030,0,"('SPZO', 'Nov2003-040200Z', '10011KT', '9999', 'BKN040', '11/04', 'Q1030')"
Nov2003-040300Z,SPZO,10011KT,080V170,8000,,-RA,,SCT030,BKN040,,9,6,1031,0,"('SPZO', 'Nov2003-040300Z', '10011KT', '080V170', '8000', '-RA', 'SCT030', 'BKN040', '09/06', 'Q1031')"
Nov2003-040400Z,SPZO,11007KT,070V170,8000,,-RA,,SCT030,BKN040,,8,6,1031,0,"('SPZO', 'Nov2003-040400Z', '11007KT', '070V170', '8000', '-RA', 'SCT030', 'BKN040', '08/06', 'Q1031')"
Nov2003-040500Z,SPZO,VRB02KT,,7000,,RA,,SCT030,BKN040,,7,6,1031,0,"('SPZO', 'Nov2003-040500Z', 'VRB02KT', '7000', 'RA', 'SCT030', 'BKN040', '07/06', 'Q1031')"
Nov2003-040600Z,SPZO,26002KT,,9000,,,,FEW030,BKN040,,8,5,1030,0,"('SPZO', 'Nov2003-040600Z', '26002KT', '9000', 'FEW030', 'BKN040', '08/05', 'Q1030')"
Nov2003-040700Z,SPZO,VRB03KT,,9999,,,,FEW030,BKN040,,8,5,1029,0,"('SPZO', 'Nov2003-040700Z', 'VRB03KT', '9999', 'FEW030', 'BKN040', '08/05', 'Q1029')"
Nov2003-040800Z,SPZO,00000KT,,9999,,,,OVC040,,,8,5,1029,0,"('SPZO', 'Nov2003-040800Z', '00000KT', '9999', 'OVC040', '08/05', 'Q1029')"
Nov2003-040900Z,SPZO,00000KT,,9999,,,,OVC050,,,7,5,1030,0,"('SPZO', 'Nov2003-040900Z', '00000KT', '9999', 'OVC050', '07/05', 'Q1030')"
Nov2003-041000Z,SPZO,00000KT,,9999,,,,BKN050,SCT060,,6,4,1030,0,"('SPZO', 'Nov2003-041000Z', '00000KT', '9999', 'BKN050', 'SCT060', '06/04', 'Q1030')"
Nov2003-041100Z,SPZO,00000KT,,9999,,,,FEW050,SCT150,,6,4,1031,0,"('SPZO', 'Nov2003-041100Z', '00000KT', '9999', 'FEW050', 'SCT150', '06/04', 'Q1031')"
Nov2003-041200Z,SPZO,00000KT,,9999,,,,FEW043,SCT300,,10,6,1032,0,"('SPZO', 'Nov2003-041200Z', '00000KT', '9999', 'FEW043', 'SCT300', '10/06', 'Q1032')"
Nov2003-041300Z,SPZO,VRB02KT,,9999,,,,SCT043,,,12,6,1032,0,"('SPZO', 'Nov2003-041300Z', 'VRB02KT', '9999', 'SCT043', '12/06', 'Q1032')"
Nov2003-041400Z,SPZO,VRB03KT,,9999,,,,SCT043,,,14,4,1032,0,"('SPZO', 'Nov2003-041400Z', 'VRB03KT', '9999', 'SCT043', '14/04', 'Q1032')"
